date,holiday_flag,promo_flag,order_volume,delivery_count,inventory_level,lead_time_avg,warehouse_utilization,vehicle_availability,fuel_price_index,economic_index,temperature,rainfall_mm,lag_1_order,lag_7_order,lag_30_order,rolling_mean_7,rolling_std_7,month,day_of_week,quarter
2020-01-01,0,0,386,378,14632.2728107031,2.2994786864889516,0.6743000767502055,29,85.0070232051561,65.26802216648548,15.668915314275113,1.77716550287259,,,,,,1,2,1
2020-01-02,0,1,421,397,14689.541482754526,2.0299786292382995,0.7574569581090017,23,85.00668157958916,65.6202566872422,20.998196061644574,9.679653485275484,386.0,,,,,1,3,1
2020-01-03,0,0,420,405,14958.120985933416,2.505207208425939,0.5851709186280489,37,85.00094374351877,65.62418588192493,21.05606154235888,4.145197837837744,421.0,,,,,1,4,1
2020-01-04,0,0,399,384,15014.205900127938,2.962284038084067,0.6241735476735528,32,85.04511728408252,65.9496402636442,18.72593600842192,1.3913137310818726,420.0,,,,,1,5,1
2020-01-05,1,0,446,431,15240.210288818265,2.7296171192946432,0.7029823336827593,32,85.02184863691706,65.46426192788871,17.14158705453574,0.31898131666617857,399.0,,,,,1,6,1
2020-01-06,0,0,432,426,15165.839738599803,2.2737150122953023,0.6262950048836582,33,84.97731166347856,66.39900518727973,19.98824100267583,3.098790419700716,446.0,,,,,1,0,1
2020-01-07,0,0,417,396,15493.83567324329,3.1097322318624006,0.8743273815918255,37,84.97797151452338,66.99458204906739,18.86875374325315,5.167819614827203,432.0,,,417.2857142857143,19.89735565105982,1,1,1
2020-01-08,0,0,414,401,15574.03210472646,3.077090599748855,0.6085659147418663,20,84.96477723229191,66.18762537682828,19.02844451457856,11.646349983106413,417.0,386.0,,421.2857142857143,14.693698033672877,1,2,1
2020-01-09,0,0,379,373,15622.54509062793,2.093087759137738,0.7185945039746441,35,85.07623086862164,65.54256354795822,20.402736837949295,1.4861626925620017,414.0,421.0,,415.2857142857143,21.72336902749576,1,3,1
2020-01-10,0,0,394,375,15305.02981844992,1.8551846191685082,0.7741087189701541,34,85.09855561534415,64.91441049789408,19.895631020983952,1.2707778351390522,379.0,420.0,,411.57142857142856,22.969959678219894,1,4,1
